2024-01-18 22:50:40 UTC time; Aircraft: MM-670-19;  exp. wind estimation
Latitude [deg];Longitude [deg];Altitude AMSL [m];Temperature [dF];Dew Point [dF];Relative Humidity [perc];Air Pressure [hPa];Wind Speed [m/s];Wind direction [deg];Wind gusts [m/s];ct2 [log_{10}K^2m^{-2/3}];cn2 [log_{10}m^{-2/3}];Speed of Sound [m/s];Sound Damping [dB/100m];Refractivity [N];Refractivity Gradient [dN/km];Modified Refractivity [M];Modified Refractivity Gradient [dM/km];Latent Heat Flux [W/m^2];Sensible Heat Flux [W/m^2]
47.5733947;9.0468587;412.4;30.03;29.71;98.74;963.1;0.8;268.4;3.7;0.0;0.0;330.6;13.5;302.5;0.0;302.5;0.0;-0.0;-0.0
47.5733947;9.0468587;412.9;30.04;29.64;98.46;963.1;0.8;270.1;3.7;0.0;0.0;330.6;13.5;302.4;-171.5;302.5;-14.8;43.9;-9.6
47.5733947;9.0468587;415.0;30.00;29.47;97.94;962.9;0.8;269.7;3.7;0.0;0.0;330.6;13.6;302.2;-108.0;302.6;48.8;29.2;10.6
47.5733947;9.0468587;417.9;29.87;29.02;96.70;962.4;0.8;272.0;3.7;0.0;0.0;330.6;13.7;301.6;-197.4;302.5;-40.6;55.3;26.6
47.5733947;9.0468587;420.4;29.81;28.87;96.32;962.1;0.8;276.1;3.7;0.0;0.0;330.6;13.7;301.4;-91.4;302.7;65.4;21.4;12.4
47.5733947;9.0468587;422.7;29.77;28.73;95.97;961.8;0.9;278.5;3.7;0.0;0.0;330.5;13.8;301.2;-83.0;302.8;73.8;19.3;10.5
47.5733947;9.0468587;425.1;29.73;28.61;95.65;961.5;0.9;279.2;3.7;0.0;0.0;330.5;13.8;301.0;-87.7;303.0;69.1;18.6;10.5
47.5733947;9.0468587;428.0;29.69;28.52;95.45;961.1;0.9;281.2;3.7;0.0;0.0;330.5;13.8;300.8;-60.2;303.3;96.6;9.9;7.4
47.5733947;9.0468587;430.7;29.67;28.45;95.30;960.9;0.9;281.3;3.7;0.0;0.0;330.5;13.8;300.7;-47.5;303.6;109.2;8.0;5.1
47.5733947;9.0468587;433.5;29.62;28.29;94.88;960.6;0.9;283.9;3.7;0.0;0.0;330.5;13.9;300.5;-81.3;303.8;75.4;21.4;12.6
47.5733947;9.0468587;435.2;29.58;28.19;94.65;960.4;0.9;286.5;3.7;0.0;0.0;330.5;13.9;300.4;-77.6;303.9;79.2;19.0;12.3
47.5733947;9.0468587;437.9;29.48;28.00;94.28;960.0;0.8;295.0;1.6;0.0;0.0;330.4;13.9;300.1;-99.4;304.1;57.4;24.2;20.9
